year,Class,F,M
15ถึง15,CLP,2.27,2.62
16ถึง20,CLP,2.06,2.76
21ถึง25,CLP,2.15,2.89
26ถึง30,CLP,2.55,3.16
31ถึง35,CLP,3.53,3.84
36ถึง40,CLP,4.6,5.23
41ถึง45,CLP,6.38,10.19
46ถึง50,CLP,10.17,15.92
51ถึง55,CLP,15.92,25.38
56ถึง60,CLP,26.09,42.31
61ถึง65,CLP,35.81,61.04
66ถึง70,CLP,51.71,81.76
71ถึง75,CLP,73.52,112.64
76ถึง80,CLP,104.55,142.38
81ถึง85,CLP,139.66,183.1
86ถึง90,CLP,240.9,261.54
91ถึง95,CLP,384.25,386.58
96ถึง98,CLP,497.74,503.41
