year,Class,F,M
15ถึง20,HBE,325.0,360.0
21ถึง35,HBE,280.0,210.0
36ถึง40,HBE,290.0,230.0
41ถึง45,HBE,320.0,250.0
46ถึง50,HBE,370.0,290.0
51ถึง55,HBE,400.0,350.0
56ถึง60,HBE,460.0,420.0
61ถึง65,HBE,490.0,510.0
66ถึง70,HBE,600.0,710.0
71ถึง75,HBE,710.0,910.0
76ถึง79,HBE,840.0,1140.0
